"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Welterweight","Stephen Thompson","Rory MacDonald","Decision","5","5:00","(unanimous) (50-45, 50-45, 48-47)"
"Welterweight","Donald Cerrone","Patrick Côté","TKO","3","2:35","(punches)"
"Light Heavyweight","Steve Bossé","Sean O'Connell","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-27)"
"Lightweight","Olivier Aubin-Mercier","Thibault Gouti","Submission","3","2:28","(rear-naked choke)"
"Women's Flyweight","Joanne Calderwood","Valérie Létourneau","TKO","3","2:51","(body kick and punches)"
"Lightweight","Jason Saggo","Leandro Silva","Decision","3","5:00","(split) (28-29, 29-28, 29-28)"
"Light Heavyweight","Misha Cirkunov","Ion Cutelaba","Submission","3","1:22","(arm-triangle choke)"
"Middleweight","Krzysztof Jotko","Tamdan McCrory","KO","1","0:59","(punch)"
"Bantamweight","Joe Soto","Chris Beal","Submission","3","3:39","(rear-naked choke)"
"Middleweight","Elias Theodorou","Sam Alvey","Decision","3","5:00","(unanimous) (29-28, 30-27, 30-27)"
"Catchweight (117.5 lbs)","Randa Markos","Jocelyn Jones-Lybarger","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
"Welterweight","Colby Covington","Jonathan Meunier","Submission","3","0:54","(rear-naked choke)"
"Flyweight","Ali Bagautinov","Geane Herrera","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Middleweight","Michael Bisping","Luke Rockhold (c)","KO","1","3:36","(punches)"
"Bantamweight","Dominick Cruz (c)","Urijah Faber","Decision","5","5:00","(unanimous) (50-45, 50-45, 49-46)"
"Featherweight","Max Holloway","Ricardo Lamas","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Middleweight","Dan Henderson","Hector Lombard","KO","2","1:27","(head kick and elbows)"
"Lightweight","Dustin Poirier","Bobby Green","KO","1","2:53","(punches)"
"Featherweight","Brian Ortega","Clay Guida","KO","3","4:40","(knee)"
"Lightweight","Beneil Dariush","James Vick","KO","1","4:16","(punch)"
"Women's Strawweight","Jéssica Andrade","Jessica Penne","TKO","2","2:56","(punches)"
"Featherweight","Alex Caceres","Cole Miller","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
"Welterweight","Sean Strickland","Tom Breese","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Light Heavyweight","Luis Henrique da Silva","Jonathan Wilson","TKO","2","4:11","(punches)"
"Middleweight","Kevin Casey","Elvis Mutapcic","Draw","3","5:00","(split) (29-28, 28-29, 28-28)"
"Lightweight","Marco Polo Reyes","Dong Hyun Kim","KO","3","1:52","(punches)"
"Bantamweight","Cody Garbrandt","Thomas Almeida","KO","1","2:53","(punch)"
"Featherweight","Jeremy Stephens","Renan Barão","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Welterweight","Rick Story","Tarec Saffiedine","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
"Middleweight","Chris Camozzi","Vitor Miranda","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Welterweight","Lorenz Larkin","Jorge Masvidal","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Lightweight","Paul Felder","Joshua Burkman","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Women's Bantamweight","Sara McMann","Jessica Eye","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Lightweight","Abel Trujillo","Jordan Rinaldi","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Middleweight","Jake Collier","Alberto Uda","TKO","2","1:06","(knee and body kick)"
"Lightweight","Erik Koch","Shane Campbell","Submission","2","3:02","(rear-naked choke)"
"Bantamweight","Bryan Caraway","Aljamain Sterling","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Heavyweight","Adam Milstead","Chris De La Rocha","TKO","2","4:01","(punches)"
"Heavyweight","Stipe Miocic","Fabrício Werdum (c)","KO","1","2:47","(punch)"
"Middleweight","Ronaldo Souza","Vitor Belfort","TKO","1","4:38","(punches)"
"Catchweight (140 lbs)","Cristiane Justino","Leslie Smith","TKO","1","1:21","(punches)"
"Light Heavyweight","Maurício Rua","Corey Anderson","Decision","3","5:00","(split) (28-29, 29-28, 29-28)"
"Welterweight","Bryan Barberena","Warlley Alves","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Welterweight","Demian Maia","Matt Brown","Submission","3","4:31","(rear-naked choke)"
"Middleweight","Thiago Santos","Nate Marquardt","KO","1","3:39","(punches)"
"Lightweight","Francisco Trinaldo","Yancy Medeiros","Decision","3","5:00","(unanimous) (29-26, 30-27, 30-26)"
"Bantamweight","John Lineker","Rob Font","Decision","3","5:00","(unanimous) (30-27, 29-28, 30-26)"
